Usuários,,,
ID Requisito,Requisito,Permissão,Descrição
RF-U01,Criar usuários,"Gerente, CEO, TI","Gerentes poderão criar usuários de todos os cargos, menos outros gerentes"
RF-U02,Visualizar usuários,"Gerente, CEO, TI",A visualização dos dados se limita à filial na qual os funcionários trabalham (exceto para a CEO)
RF-U03,Atualizar dados do usuário,"Gerente, TI","Gerentes poderão atualizar usuários de todos os cargos, menos outros gerentes
Este requisito inclui a troca do e-mail de usuários"
RF-U04,Desativar usuários,"Gerente, TI, CEO","Gerentes poderão desativar usuários de todos os cargos, menos outros gerentes
Exclusão física apenas para TI"
RF-U05,Autenticar com o usuário,"Gerente, Atendente (PF), Cozinheiro, TI, Não classificado",
RF-U06,Enviar solicitação de reset de senha,"Gerente, Atendente, Cozinheiro, TI, Não classificado",Será enviada ao e-mail cadastrado pelo colaborador
RF-U07,Associar usuário à filial,"Gerente, TI, CEO",Gerentes não poderão associar outros gerentes
RF-U08,Desassociar usuário de filial,"Gerente, TI, CEO",Gerentes não poderão desassociar outros gerentes
Clientes,,,
ID Requisito,Requisito,Permissão,Descrição
RF-C01,Criar cadastro de cliente,"Gerentes, Atendentes, TI, Cliente",
RF-C02,Leitura de clientes,"Gerentes, Atendentes, TI","Caso este processo seja realizado por um totem, deverá exibir apenas os dados do cliente atual"
RF-C03,Atualização de clientes,"Gerentes, TI, Cliente",
RF-C04,Desativar clientes,"Gerentes, TI, CEO",Exclusão física apenas para TI
RF-C05,Atualizar fidelidade do cliente,"Gerente, Atendente, TI","A fidelidade dos clientes mais antigos poderá ser inserida manualmente pelos usuários. Para os demais clientes, esta será preenchida com base nas compras (cálculo feito com base no valor da compra e quantidade de pedidos)"
RF-C06,Enviar solicitação de troca de senha,"Cliente, Atendente",Será enviado ao email salvo no cadastro do cliente
Filial,,,
ID Requisito,Requisito,Permissão,Descrição
RF-F01,Criar Filial,"TI, CEO",Apenas a partir da autorização de Dona Francisca para abertura. O Estoque será criado junto seguindo o mapeamento inicial do processo.
RF-F02,Atualizar Filial,"TI, CEO",Apenas em caso de expansão de estrutura ou outra questão adjacente
RF-F03,Visualizar dados da filial,"Gerentes, TI, CEO",
RF-F04,Desativar filial,"TI, CEO",Exclusão física apenas para TI
RF-F05,Consultar vendas da filial,"Gerente, CEO, TI",
